"","houseid","cityid","adrnum","street","state","zip","bathnum","bednum","outview","numlvl","yrbuilt","landsz","condtn","housesz","closedt","sellprice","origprice","longitude","latitude"
"192",192,65,"95-216","Hainole","HI",96789,3,4,"Garden,Other",2,2006,5532,4,2803,2014-07-15,960000,1088000,-157.9767235,21.4798938
"193",193,65,"95-200","KAEONUI","HI",96789,3,4,"Sunset",2,2003,7499,5,2567,2014-07-03,960000,949999,-157.982326,21.477038
"194",194,65,"95-223","Kaeolau","HI",96789,3,4,"Mountain,Ocean",2,2003,7070,5,2401,2014-01-09,970000,998000,-157.9872509,21.473198
"195",195,65,"95-1024","Hoama","HI",96789,3,4,"Mountain,Other,Sunset",2,2005,7523,5,3094,2013-11-07,972000,975000,-157.981977,21.479352
"196",196,65,"95-1122","Anuanu","HI",96789,3,3,"Garden,Mountain,Sunset",2,2001,8775,4,2890,2014-04-25,981750,1234000,-157.989439,21.48342
"197",197,65,"95-210","Hainole","HI",96789,3,4,"Garden,Mountain,Other",2,2006,5532,5,2803,2015-01-14,990000,1024990,-157.976821,21.48012
"198",198,65,"95-1002","Ahulili","HI",96789,3,5,"None",2,1998,7178,5,2777,2014-11-24,1000000,989000,-158.000245,21.481275
"199",199,65,"95-1040","Hehina","HI",96789,3,5,"None",2,2005,6760,5,3094,2014-12-19,1000000,1059000,-157.979277,21.47789
"200",200,65,"95-1096","Alaoki","HI",96789,3,4,"Mountain",2,1997,13600,5,2516,2014-11-26,1020000,998000,-158.0003649,21.479148
"201",201,65,"95-211","Hoahiahi","HI",96789,3,3,"Mountain,Sunset",2,2000,6702,5,2453,2014-12-19,1050000,1150000,-157.9915509,21.483558
"202",202,65,"95-1058","Kahakuhi","HI",96789,3,4,"City,Garden,Mountain",2,2005,7642,4,2816,2013-09-24,1058000,1088000,-157.979996,21.479297
"203",203,65,"95-309","Alaoki","HI",96789,3,4,"Coastline,Mountain,Ocean,Sunset",2,1997,7551,5,2516,2014-11-21,1140000,1225000,-158.002911,21.479464
"204",204,65,"95-232","Anuanu","HI",96789,4,4,"Garden,Mountain",2,2001,10350,5,2907,2014-02-21,1145000,1150000,-157.986729,21.484206
"205",205,65,"95-226","KAPANOE","HI",96789,3,5,"Other",2,2004,6041,5,2796,2014-02-21,1165000,1165000,-157.98025,21.484017
"206",206,65,"95-250","Kapanoe","HI",96789,4,5,"Garden,Mountain",2,2004,6525,5,3201,2014-06-23,1198000,1175000,-157.979096,21.483839
"207",207,65,"95-1000","Kapanoe","HI",96789,3,3,"Garden",2,2004,6492,4,2760,2014-11-03,1200000,1200000,-157.981287,21.484349
"208",208,65,"95-1010","Melekomo","HI",96789,4,4,"Garden,Mountain",2,2006,8427,5,3516,2014-01-24,1220000,1300000,-158.013888,21.475132
"209",209,65,"95-1051","Hehina","HI",96789,4,4,"City,Mountain,Ocean,Sunset",2,2005,6995,5,2808,2014-05-23,1250000,1350000,-157.979679,21.47731
"210",210,65,"95-218","Haunone","HI",96789,4,4,"Garden,Other",2,2005,10080,5,3516,2014-02-21,1265000,1245000,-157.978405,21.477757
